,Code,Full_name,Latitude,Longitude,Distance_from_centre
0,Blmngtn,Bloomington,42.055627,-93.619566,3.2629618173985433
1,Blueste,Bluestem,42.01117,-93.64506251996124,2.8378986399166837
2,BrDale,Truman Place,42.052547,-93.628226,3.050035364629742
3,BrkSide,Brookside,42.0267703,-93.6170554,0.0578043829422743
4,ClearCr,Clear Creek,41.994591,-93.261668,29.581234048324347
5,CollgCr,College Creek,42.0230673,-93.6504737,2.755615357369807
6,Crawfor,Crawford,42.0280289,-93.6071512,0.8656348122851083
7,Edwards,Edwards,42.015945,-93.6856328,5.751163919564166
8,Gilbert,Gilbert,42.1069288,-93.6496628,9.346368846857985
9,IDOTRR,800 Lincoln Way,42.022753,-93.622259,0.5643015614419563
10,MeadowV,Meadow Village,42.0267703,-93.6170554,0.0578043829422743
11,Mitchel,Mitchell,41.990354350000004,-93.60134857801677,4.209013064802914
12,NAmes,North Ames,42.0150957,-93.6979831,6.7699506878762605
13,NoRidge,3300 George Washington Carver Avenue,42.0574016,-93.6583149,4.832329918198385
14,NPkVill,Northpark Villa,41.5635432,-90.57493342124303,257.23668357399214
15,NridgHt,Northridge Heights,42.060235500000005,-93.64982195100856,4.6240596443517665
16,NWAmes,Northwest Ames,42.0150957,-93.6979831,6.7699506878762605
17,OldTown,Old Town,43.3135752,-95.1441625,189.7950336411289
18,SWISU,Iowa State University,42.02791015,-93.64464414737449,2.257674535184765
19,Sawyer,Sawyer,42.0339239,-93.67664839687177,4.9649151989870015
20,SawyerW,Sawyer West,42.0339239,-93.67664839687177,4.9649151989870015
21,Somerst,Somerset,42.0497577,-93.6394647,3.180007592445369
22,StoneBr,Stone Brook,42.0610026,-93.6325959,4.054695471861146
23,Timber,Timberland,41.999613,-93.649627,3.9862182757186897
24,Veenker,Veenker,42.0379557,-93.65076577182364,3.044543885468122
